legbody,ID,title,descr,LGA,SA4CODE_2021_2022,IPCCA_Behavioural_and_Cultural,IPCCA_Knowledge,IPCCA_Infrastructural_and_Technological,IPCCA_Nature_Based,IPCCA_Institutional,Funding,Organisation_University,Organisation_Federal_Government,Organisation_Private_Organisations,Organisation_State_Territory_Gov,Organisation_Civil_Society,Organisation_Regional_Organisation,Organisation_Local_Government,Organisation_Other,Purpose_Governance_Instruments,Purpose_Information_Gathering,Purpose_Research,Purpose_Knowledge_Building,Purpose_Stakeholder_Engagement,Purpose_Coordination,Purpose_Institutional_Change,Purpose_Intervention,Hazard_Fire,Hazard_Drought,Hazard_Temperature_Extremes,Hazard_Changes_Precipitation,Hazard_Coastal_erosion_flooding_change,Hazard_Ocean_warming_acidification,Hazard_Humidity,Hazard_Extreme_wind,Hazard_General_Climate_Change,Hazard_Riverine_Flooding,Climate_Risk_Assessment_Infrastructure_Built_Environment,Climate_Risk_Assessment_Health_Social_Support,Climate_Risk_Assessment_Natural_Environment,Climate_Risk_Assessment_Primary_Industries_Food_System,Climate_Risk_Assessment_Regional_Remote_Communities,Climate_Risk_Assessment_Economy_Trade_Financial_System,Climate_Risk_Assessment_Multi_System,Climate_Risk_Assessment_Defence_National_Security,Start_Year,End_Year,Party_Labor,Party_Liberal,Party_Nationals,Party_Labor_Greens,Party_Liberal_National,Population_Abundance
Northern Territory,24,Secure Northern Territory website,Provides information on all types of disasters and how to manage them,NA,NT,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,NA,NA,N/A,N/A,0,N/A,N/A,NA
Northern Territory,25,Sustainable Disaster Relief Food Solutions in Northern Australia Project,Provide regional and remote infrastructure to coordinate the efficient distribution of food to communities in the event of a natural disaster,NA,NT,0,0,1,0,0,Commonwealth,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,NA,NA,N/A,N/A,0,N/A,N/A,NA
Queensland,45,Cyclone Testing Station,Aims to minimise the loss and suffering caused by cyclones and other high wind events,Townsville,318,0,1,0,0,0,James Cook University,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1977,NA,0,0,0,0,1,
Queensland,68,Gold Coast Seaway breakwaters and sand pump system,Installation of two breakwaters at the mouth of the river as well as sand pumping system_ Removes sand from the southern side of the river entrance and pumps it under the seaway to the beaches of nearby Stradbroke Island,NA,309,0,0,1,0,0,Queensland Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1986,NA,0,0,1,0,0,2620000
Queensland,25,Coolangatta Beach Nourishment from Tweed Training Walls,Tweed River training walls trap sand preventing natural replenishment at Coolangatta Beach_ The beach has been nourished over the past 30 years_ Added sand to eroded beaches restores natural buffers,Gold Coast,309,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1990,2006,1,0,0,0,0,2959600
Queensland,57,Eco certifed Tourism Destination Program,Helps tourism operators meet eco certification standards that focus on sustainable and responsible tourism practices,NA,QLD,0,1,0,0,0,Queensland Government,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1995,NA,1,0,0,0,0,2959600
Queensland,165,Vegetation Management Legislation,Regulates land clearing activities with the aim of protecting native vegetation preserving biodiversity and reducing carbon emissions,NA,QLD,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1999,1999,0,0,0,0,1,3662767
Queensland,128,Queensland Water Act 2000,Provides a legislative framework for the sustainable management of Queenslands water resources aiming to ensure that water is allocated and used efficiently,NA,QLD,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2000,NA,1,0,0,0,0,3597700
Queensland,67,Get Ready Queensland,Community engagement initiative aimed at improving disaster prepardness and resilience in Queensland_ It encourages individuals and communities to plan for emergencies,NA,QLD,0,1,0,0,0,NA,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2006,NA,1,0,0,0,0,3904532
Queensland,13,Business Chamber Queenslands ecoBiz Program,Free service aimed tat helping Queensland business enhance their climate resilience,NA,QLD,1,0,0,0,0,Queensland Government,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2007,2008,1,0,0,0,0,4180000
Queensland,80,Indigenous Land and Sea Ranger Queensland,Collaborative initiative between the Queensland Government and First Nations communities aimed at managing and protecting land andsea country,NA,QLD,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2007,NA,1,0,0,0,0,4180000
Queensland,32,Mackay regional coastal strategy,Plan has significant recommendations for nature based solutions for management of the area,Mackay,312,0,1,0,0,0,State and Federal Government,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2010,NA,1,0,0,0,0,4498900
Queensland,29,Grantham Relocation,Town was moved to higher ground to prevent future damaging floods_ The council bought hectares of cattle country on a hill overlooking Grantham and subdivided it ordering a land swap program for residents living on flood affected land,Lockyer Valley,317,1,0,0,0,0,Federal; Queensland Government,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2011,2012,1,0,0,0,0,4332739
Queensland,4,Assessing Benthic Fauna Response,Assessed benthic invertebrate abundance following beach nourishment_ Evaluated short term impacts on benthic fauna and moderate term recovery of habitat,NA,309,0,0,0,1,0,NA,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,2012,0,1,0,0,0,4568687
Queensland,10,Brisbane Airport New Runway,Considered climate change as part of the planning and design for long term viability of its new runway_ Changed the location of the runway,Brisbane,302,0,0,1,0,0,Airport Corporation,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2012,2020,0,1,0,0,0,4568687
Queensland,24,The Hanlon Park Rejuvenation Project,Concrete channels reduce the ability of the environment to absorb excess rainfall_ Concrete channels will be removed and replaced with a natural ecosystem and parkland,Brisbane,303,0,0,0,1,0,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2012,2031,0,1,0,0,0,4568687
Queensland,50,Community Sustainability Action grants project recipients,These grants support community driven initiatives across Queensland including environmental conservation wildlife protection and climate action projects,NA,QLD,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2012,NA,0,1,0,0,0,4568687
Queensland,33,Roma Flood Levy Bank,Levee gives protection to over 500 homes in Roma above floor flooding and has seen Suncorp Insurance cut premiums in the town ,Maranoa,307,0,0,1,0,0,Queensland Government,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2013,2019,0,1,0,0,0,4660000
Queensland,55,Drought and Climate Adaptation Program,Aims to improve the resilience of Queensland communities and industries particularly in rural and agricultural sectors to the impacts of drought and changing climate conditions,NA,QLD,0,1,0,0,0,Queensland Government,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2014,NA,0,1,0,0,0,4722400
Queensland,160,Torres Strait Climate Change Strategy 2014 2018,Outlines a comprehensive approach to building the adaptive capacity and resilience of Torres Strait Islander communities in the face of climate change,NA,315,0,0,0,0,1,Australian Government,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,2018,0,1,0,0,0,4722400
Queensland,137,Reef 2050 Plan,Overarching strategy to protect and manage the Great Barrier through to 2050,NA,306,0,0,0,0,1,Queensland Government,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2015,2015,1,0,0,0,0,4759994
Queensland,56,Drought and Climate Adaptation Program Phase 2,Aims to help producers better manage drought and climate impacts by delivering a range of research development and extension projects,NA,QLD,0,0,0,0,1,Queensland Government,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2016,2021,1,0,0,0,0,4703193
Queensland,90,Qcoast 2100 Program,Designed to benefit Queensland coastal local governments by expanding on the work completed through the development of their Coastal Hazard Adaptation Strategies,NA,QLD,0,1,0,0,0,Queensland Government,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,2016,NA,1,0,0,0,0,4703193
Queensland,99,Queensland Climate Resilient Councils Program,Aims to deliver services and products that will strengthen staff and leadership team skills and capacity to plan for and respond to the challenges and opportunities arising from climate change,NA,QLD,0,0,0,0,1,Local Government,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,2016,2022,1,0,0,0,0,4703193
Queensland,132,Queenslands Disability Inclusive Disaster Risk Reduction projects,Focused on integrating people with disabilities into disaster prepardness and response efforts_ Aim to improve accessibility involve individuals and disabilities in planning,NA,QLD,0,1,0,0,0,Queensland Government,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2016,2020,1,0,0,0,0,4703193
Queensland,155,State Planning Policy state interest guideline: Natural hazards risk and resilience,Outlines 17 state interests under broad themes_ Provides information for local governments to assist them in the tailoring and implementation of the SPP,NA,QLD,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,2016,2016,1,0,0,0,0,4703193
Queensland,159,The Vineyard of the Future Project,Research project to study vine resilience to climate change,NA,317,0,1,0,0,0,NA,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2016,NA,1,0,0,0,0,4703193
Queensland,163,Tropical Cyclone Storm Tide Warning Response Handbook,Comprehensive guide designed to help emergency services local governments and communities effectively,NA,QLD,0,0,0,0,1,NA,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,2016,2016,1,0,0,0,0,4703193
Queensland,7,Biodiversity and Ecosystems Climate Adaptation Plan SAP,Part of the sector based adaptation planning outlining strategies and actions to help biodiversity and ecosystems withstand climate related changes,NA,QLD,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2017,2017,1,0,0,0,0,4965000
Queensland,11,Building a Resilient Tourism Industry: Queensland Tourism Climate Change Response Plan,Provides a framework for Queenslands tourism sector to respond to climate change risks and opportunities,NA,QLD,0,0,0,0,1,Queensland Government,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2017,2017,1,0,0,0,0,4965000
Queensland,27,Palm Beach nourishment and artificial reef,The beach was renourished in 2017 followed by an installation of an artificial reef in 2019,Gold Coast,309,0,0,0,1,0,Local Government,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2017,2019,1,0,0,0,0,4965000
Queensland,30,Climate risk assessment and risk register for North Queensland Airports,NQA undertook an internal risk screening and risk assessment process using mapping tools and guidelines published in CoastAdapt_ Looked into current risks as well as future risks in 2030 and 2070,Mackay; Cairns,312; 306,0,1,0,0,0,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2017,2017,1,0,0,0,0,4965000
Queensland,31,Lamberts Beach post cyclone dune and beach rebuild project,Project restored the dune structure which stabilizes them enhancing their role as protective barriers against coastal flooding and erosion,Mackay,312,0,0,0,1,0,State and Federal Government,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,2018,1,0,0,0,0,4965000
Queensland,37,Noosa Council Coastal Hazards Adaptation Plan,Aims to assess and addressed coastal hazards over the medium to long term_ Includes community engagement risk assessments adaptation analysis and interventions,Noosa,316,0,0,0,0,1,QCoast2100 Program,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2017,2021,1,0,0,0,0,4965000
Queensland,39,Noosa Estuary pilot oyster reef restoration,Investigated the potential of restoring oyster reefs in Noosa estuary_ ,Noosa,316,0,1,0,0,0,Research Grants,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,2020,1,0,0,0,0,4965000
Queensland,70,Great Artesian Basin and Other Regional Aquifers Water Plan,Seeks to safeguard and sustainability manage the water resources of the Great Artesian Basin and other regional aquifers_ Focuses on improving water use efficiency reducing environmental impacts and ensuring water security for communities industries and ecosystems,NA,315,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2017,2032,1,0,0,0,0,4965000
Queensland,93,Queensland Agriculture Sector Adaptation Plan,Aims to improve the resilience of the agriculture sector to climate change by identifying risks and developing strategies to address them,NA,QLD,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2017,2020,1,0,0,0,0,4965000
Queensland,95,Queensland Built Environment and Infrastructure Sector Adaptation Plan,Aims to foster collaboration between the government and the built environment and infrastructure sector to develop strategies that protect Queenslands infrastructure from climate change impacts,NA,QLD,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2017,2017,1,0,0,0,0,4965000
Queensland,97,Queensland Climate Adaptation Stratey 2017 2030,Provides a statewide framework to build climate resilience,NA,QLD,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2017,2030,1,0,0,0,0,4965000
Queensland,100,Queensland Disaster Management Guideline,Provides a framework for disaster management planning and response across the state,NA,QLD,0,0,0,0,1,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2017,2018,1,0,0,0,0,4965000
Queensland,102,Queensland Drought Mitigation Centre,Collaboration of national and international climate modelling expertise and has been established to facilitate the research,NA,QLD,0,1,0,0,0,Queensland Government,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2017,NA,1,0,0,0,0,4965000
Queensland,126,Queensland Sustainable Fisheries Strategy: 2017 2027,Sets out a 10 year plan to ensure the long term sustainability of Queenslands fisheries,NA,QLD,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2017,2027,1,0,0,0,0,4965000
Queensland,144,Renewables 400 Program,Reverse auction program designed to procure up to 400 megawatts of renewable energy capacity,NA,QLD,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2017,NA,1,0,0,0,0,4965000
Queensland,145,Repositing displaced coral colonies following cyclone impacts,Researchers implemented an initiative to reposition coral colonies displaced by Cyclone Debbie,NA,315,0,0,0,1,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2017,2019,1,0,0,0,0,4965000
Queensland,147,Resilient Reefs Initiative,Collaboration to implement strategies that increase the resilience of coral reefs against climate change impacts,NA,306,0,0,0,0,1,Various Partners,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2017,NA,1,0,0,0,0,4965000
Queensland,154,State Planning Policy,Provides a consolidated policy framework that articulates the states interests in land use planning and development,NA,QLD,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2017,2017,1,0,0,0,0,4965000
Queensland,170,Whitsundays estuary relocation to prevent erosion,Built assessts and a recreational beach were deemed to be at risk of erosion,NA,312,0,0,0,1,0,Queensland Government,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,2017,1,0,0,0,0,4965000
Queensland,26,Coomera River Mangroves log structures and planting to restore estuary bank,Hardwood logs and hardwood marine piles were installed and riparian vegetation planted to restablise the bank and encourage a natural system,Gold Coast,309,0,0,0,1,0,Local Government,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2018,2021,1,0,0,0,0,5052800
Queensland,36,Noosa Council Adaptation Principles,Set of 17 guiding principles developed to inform and direct the Councils climate cange adaptation strategies_ Emphasising resilience community safety ecological integrity and sustainable development,Noosa,316,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2018,2018,1,0,0,0,0,5052800
Queensland,40,Redland Coast Hazard Adaptation strategy,Aims to safeguard Redlands Coast from coastal hazards like erosion storm tide inundation and sea level rising,Redland,311,0,0,0,0,1,Queensland Government,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,2021,1,0,0,0,0,5052800
Queensland,47,Rowes Bay annual nourishment from channel dredging,This beach is renourished annually by the City of Townsville using dredged material from nearby boating channels,Townsville,318,0,0,0,1,0,Queensland Government,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,NA,1,0,0,0,0,5052800
Queensland,59,Emergency Management Sector Adaptation Plan for Climate Change,Sector led response outlines strategies for the emergency management sector to manage risks associated with climate change emphasizzing resilience building,NA,QLD,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2018,2018,1,0,0,0,0,5052800
Queensland,71,Great Barrier Reef Island Resorts Rejuvenation Program,Funding projects on Great Barrier Reed Island Resorts Rejuvination Program_ Included funding prpjects on Great Barrier Reef Island resorts from Far North Queensland to the Southern Great Barrier Reef for a range of initiatives focusing on growing greening and cleaning,NA,306,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,2018,2025,1,0,0,0,0,5052800
Queensland,72,Growing for Queensland,Aimed at supporting sustainable agricultural practices_ Providing resources and tools to Queensland farmers to help them adapt to climate change,NA,QLD,0,1,0,0,0,Queensland Government,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2018,NA,1,0,0,0,0,5052800
Queensland,74,Household Resilience Program,Assist eligible homeowners in coastal parts of Central and Northern Queensland to improve the resilience of their homes against cyclones,NA,319; 315,0,0,1,0,0,Queensland Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2018,NA,1,0,0,0,0,5052800
Queensland,77,Identifying Future Reintroduction for the Northern Hairy Nosed Wombat,Identify additional habitat within the northern hairy nosed wombats former range for potential reintroduction sites taking future climate scenarios into account,NA,QLD,0,0,0,0,1,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2018,NA,1,0,0,0,0,5052800
Queensland,88,Pathways to a Clean Growth Economy: Queensland Climate Transition Strategy,Long term policy framework that includes measures to enhance economic resilience to climate change_ Considers economic policies that support adaptation efforts,NA,QLD,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2018,2018,1,0,0,0,0,5052800
Queensland,91,QLD Human Health and Wellbeing Climate Change Adaptation Plan,Developed to enhance the resilience of Queenslands healthcare aged care and early childhood education sectors in the face of climate change,NA,QLD,0,0,0,0,1,Queensland Government,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2018,2018,1,0,0,0,0,5052800
Queensland,94,Queensland Biodiversity and Ecosystems Climate Adaptation Plan,Aims to minimize the negative effects of climate change on Queenslands biodiversity and ecosystems by fostering collaborative problem solving strategic planning and on ground actions,NA,QLD,0,0,0,0,1,Queensland Government,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2018,2018,1,0,0,0,0,5052800
Queensland,98,Queensland Climate Ready Program,Aims to enhance climate risk management within the Queensland Government,NA,QLD,0,0,0,0,1,NA,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2018,NA,1,0,0,0,0,5052800
Queensland,103,Queensland Emergency Management Sector Adaptation Plan,Serves as a strategic document outlining the current status of climate change adaptation within the emergency management sector,NA,QLD,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2018,2018,1,0,0,0,0,5052800
Queensland,106,Queensland Future Climate Dashboard,Provides interactive access to future climate projections for Queensland_ Enables users to explore data on temperature rainfall humidity fire weather,NA,QLD,0,1,0,0,0,"Queensland Department of Environment, Science and Innovation",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2018,NA,1,0,0,0,0,5052800
Queensland,112,Queensland Human Health and Wellbeing Climate Change Adaptation Plan,Provides a strategic framework to enhance the resilience of healthcare aged care and early childhood education,NA,QLD,0,0,0,0,1,Queensland Government,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2018,2018,1,0,0,0,0,5052800
Queensland,121,Queensland Resilient Tourism Industry Climate Response Plan,Provides a strategic framework for the tourism industry to proactively address climate change challenes,NA,QLD,0,0,0,0,1,Queensland Government,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,2018,2018,1,0,0,0,0,5052800
Queensland,124,Queensland State of the Environment Report 2020,Provides an assessment of Queenslands environmental performance,NA,QLD,0,1,0,0,0,NA,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2018,2020,1,0,0,0,0,5052800
Queensland,127,Queensland Waste Management and Resource Recovery Strategy,An approach to improving waste management in Queensland_ Aims to reduce the amount of waste sent to landfills,NA,QLD,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2018,2019,1,0,0,0,0,5052800
Queensland,138,Reef Restoration and Adaptation Program,Investigated 160 potential interventions and long listed 43_ Interventions with the highest likelihood of success and aimed to prevention were prioritised over those aimed at repair,NA,306,0,1,0,0,0,Reef Restoration and Adaptation Science ,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2018,NA,1,0,0,0,0,5052800
Queensland,149,Rural Economies Centre of Excellence,Addresses critical issues affecting rural and regional Queensland,NA,QLD,0,1,0,0,0,Queensland Department of Agriculture and Fisheries,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2018,NA,1,0,0,0,0,5052800
Queensland,9,Brisbane 2032 Olympic and Paralympic Games: Preliminary economic social and environmental analysis ,Aims to remove more carbon from the atmosphere than the Game produces,Brisbane,305,0,1,0,0,0,Queensland Government,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2019,2042,1,0,0,0,0,5088847
Queensland,17,Climate Change Response Plan,Address the challenges posed by climate change_ Outlines actions to reduce emissions and adapt to climate impacts,Noosa,316,0,0,0,0,1,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,2021,1,0,0,0,0,5088847
Queensland,43,Onslow Shoreline foreshore mangrove and groundcover planting,500 mangroves and 400 ground covering plants were planted to re establish the ecosystem along the foreshore preventing erosion adapting to climate change and promoting fish habitat,Sunshine Coast,316,0,0,0,1,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2019,2019,1,0,0,0,0,5088847
Queensland,79,Inaugural First Nations Climate Summit,Brought together First Nations communities to discuss and develop strategies for adapting to climate change impacts_ Emphasized the importance of traditional knowledge and community led solutions in building resilience against climate related challenges,NA,QLD,0,1,0,0,0,Queensland Government,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,2019,2019,1,0,0,0,0,5088847
Queensland,86,New Economgy Minerals Initiative,Focuses on Queenslands rich mineral resources essential for technologies in renewable energy advanced manufacturing and other industries,NA,QLD,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2019,2019,1,0,0,0,0,5088847
Queensland,92,QLD Land Restoration Fund,Supports carbon farming projects that deliver environmental economic and social benefits_ Aims to increase participation in carbon markets allowing landholders to earn income by storing carbon or reducing emissions,NA,QLD,0,0,0,0,1,Queensland Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,2019,NA,1,0,0,0,0,5088847
